IB Symbol,Product Description,Symbol,Currency,Contract ID
TATASTEEL,TATA STEEL LTD,TATASTEEL,INR,44652069
TCS,TATA CONSULTANCY SVCS LTD,TCS,INR,44652015
TECHM,TECH MAHINDRA LTD,TECHM,INR,187395599
TITAN,TITAN CO LTD,TITAN,INR,90181242
TORNTPHAR,TORRENT PHARMACEUTICALS LTD,TORNTPHARM,INR,56986878
TORNTPOWE,TORRENT POWER LTD,TORNTPOWER,INR,56986853
TVSMOTOR,TVS MOTOR CO LTD,TVSMOTOR,INR,56986838
UBL,UNITED BREWERIES LTD,UBL,INR,56983324
ULTRACEMC,ULTRATECH CEMENT LTD,ULTRACEMCO,INR,56983383
UPL,UPL LTD,UPL,INR,56983369
VEDL,VEDANTA LTD,VEDL,INR,56988951
VOLTAS,VOLTAS LIMITED,VOLTAS,INR,56983785
WIPRO,WIPRO LTD,WIPRO,INR,44652030
ZEEL,ZEE ENTERTAINMENT ENTERPRISE,ZEEL,INR,44652165
